Year,Interstate,Intrastate,One-sided violence,Non-state
1989,868,54316,7992,4170
1990,1086,79211,9863,5251
1991,21889,48464,9739,3860
1992,25,53381,11703,10458
1993,0,44949,14105,14722
1994,42,38475,779683,5299
1995,99,36643,21090,4469
1996,91,28794,54298,4196
1997,127,40213,21238,4306
1998,1147,39071,17358,3523
1999,48126,32921,13520,5993
2000,50225,28446,8470,6625
2001,1445,22147,8899,5126
2002,212,20894,13800,6390
2003,8164,15030,13481,3564
2004,0,19646,12273,4161
2005,0,12322,5784,2192
2006,0,20163,4442,3075
2007,0,19214,4909,4171
2008,35,28706,4486,6084
2009,0,34606,5930,9400
2010,0,21088,3674,8723
2011,29,25051,6739,8877
2012,367,73704,6446,9469
2013,31,93457,11582,9299
2014,49,115923,15311,19497
2015,63,104372,10883,15783
2016,125,90499,7936,17086
2017,151,71872,9252,31054
2018,240,54791,5087,27841
2019,302,52308,5536,18956
2020,648,72580,8912,20629
2021,222,199567,12004,21846
2022,91708,185185,11993,19728
2023,75340,55721,10694,18515
2024,76413,52026,13927,17471
