Entity,Code,Fatalities
Democratic Republic of Congo,COD,19245
Nigeria,NGA,14369
Syria,SYR,13838
Ethiopia,ETH,12132
Iraq,IRQ,11423
Central African Republic,CAF,7420
Burkina Faso,BFA,5836
Sudan,SDN,5679
Myanmar,MMR,4657
Mali,MLI,4324
Afghanistan,AFG,3947
South Sudan,SSD,2915
Mozambique,MOZ,2850
Pakistan,PAK,2579
Cameroon,CMR,2449
Niger,NER,1794
Haiti,HTI,1651
Ukraine,UKR,1460
India,IND,1328
Somalia,SOM,1133
Colombia,COL,959
Egypt,EGY,736
Israel,ISR,666
Kenya,KEN,645
Burundi,BDI,614
Iran,IRN,587
Venezuela,VEN,399
Brazil,BRA,390
Turkey,TUR,340
Congo,COG,301
Mexico,MEX,298
Chad,TCD,259
Thailand,THA,257
Sri Lanka,LKA,255
France,FRA,227
Philippines,PHL,215
Russia,RUS,195
Libya,LBY,148
Togo,TGO,97
Yemen,YEM,94
El Salvador,SLV,88
Palestine,PSE,87
Tunisia,TUN,59
Uganda,UGA,57
Lebanon,LBN,53
Eswatini,SWZ,48
Algeria,DZA,42
Bangladesh,BGD,39
Saudi Arabia,SAU,37
Rwanda,RWA,36
Belgium,BEL,35
Eritrea,ERI,30
Indonesia,IDN,28
Kuwait,KWT,26
Papua New Guinea,PNG,26
Benin,BEN,25
Guatemala,GTM,25
United States,USA,22
Tanzania,TZA,19
Cote d'Ivoire,CIV,16
Spain,ESP,16
Germany,DEU,15
Sweden,SWE,5
Ecuador,ECU,4
Austria,AUT,4
Tajikistan,TJK,4
United Kingdom,GBR,2
Australia,AUS,1
Djibouti,DJI,1
Georgia,GEO,1
South Africa,ZAF,1
