Entity,Code,Fatalities,Population,Fatalities_Per_100k
Central African Republic,CAF,7420,5152415,144.01013893484898
Syria,SYR,13838,23594623,58.648955738771505
South Sudan,SSD,2915,11483370,25.384534330949887
Burkina Faso,BFA,5836,23025777,25.345507341619786
Iraq,IRQ,11423,45074055,25.342738744051317
Democratic Republic of Congo,COD,19245,105789733,18.19174645237076
Mali,MLI,4324,23769130,18.191662883748794
Haiti,HTI,1651,11637402,14.187015280558324
Sudan,SDN,5679,50042800,11.348285867297594
Afghanistan,AFG,3947,41454762,9.521222193966523
Ethiopia,ETH,12132,128691695,9.427181761806773
Cameroon,CMR,2449,28372690,8.63153969539018
Myanmar,MMR,4657,54133800,8.60275835060535
Mozambique,MOZ,2850,33635163,8.47327542310409
Israel,ISR,666,9256311,7.1950910033165485
Niger,NER,1794,26159863,6.857834079635662
Nigeria,NGA,14369,227882949,6.305430074103526
Somalia,SOM,1133,18358622,6.171487162816469
Congo,COG,301,6182890,4.868273574331744
Burundi,BDI,614,13689455,4.48520412244315
Eswatini,SWZ,48,1230507,3.900831120830682
Ukraine,UKR,1460,37732833,3.869309256476978
Libya,LBY,148,7305659,2.025826828216318
Colombia,COL,959,52321152,1.8329107126693236
Palestine,PSE,87,5409201,1.6083706262717914
Venezuela,VEN,399,28300861,1.409851099583154
El Salvador,SLV,88,6309629,1.3946937292192616
Chad,TCD,259,19319075,1.340643897288043
Kenya,KEN,645,55339007,1.1655431403024632
Sri Lanka,LKA,255,22971615,1.1100656179376156
Togo,TGO,97,9304346,1.0425235690934107
Pakistan,PAK,2579,247504505,1.042001235492663
Lebanon,LBN,53,5773494,0.9179883100250905
Eritrea,ERI,30,3470391,0.8644559071297729
Iran,IRN,587,90608708,0.6478406026935071
Egypt,EGY,736,114535772,0.6425940011125957
Kuwait,KWT,26,4838781,0.5373254131567434
Tunisia,TUN,59,12200434,0.4835893542803477
Turkey,TUR,340,87270502,0.38959326714999304
Thailand,THA,257,71702436,0.3584257583661453
France,FRA,227,66438828,0.34166767661825703
Belgium,BEL,35,11712891,0.29881606513712117
Rwanda,RWA,36,13954473,0.25798179551459954
Papua New Guinea,PNG,26,10389638,0.2502493349623923
Yemen,YEM,94,39390800,0.2386344019415701
Mexico,MEX,298,129739761,0.22969057265335954
Philippines,PHL,215,114891199,0.1871335679941855
Brazil,BRA,390,211140731,0.18471092628735855
Benin,BEN,25,14111035,0.17716630991277393
Guatemala,GTM,25,18124841,0.1379322444814826
Russia,RUS,195,145440502,0.13407544481660275
Uganda,UGA,57,48656606,0.11714750510958369
Saudi Arabia,SAU,37,33264289,0.11123039485377248
India,IND,1328,1438069597,0.09234601738124362
Algeria,DZA,42,46164222,0.09097954688806409
Djibouti,DJI,1,1152951,0.08673395486885392
Cote d'Ivoire,CIV,16,31165653,0.05133856813460638
Sweden,SWE,5,10551493,0.04738665893063664
Austria,AUT,4,9130434,0.04380952756462617
Tajikistan,TJK,4,10389807,0.03849927144941191
Spain,ESP,16,47911583,0.03339484733785565
Tanzania,TZA,19,66617607,0.02852098845279747
Georgia,GEO,1,3807494,0.026263994112663083
Bangladesh,BGD,39,171466986,0.02274490320836455
Ecuador,ECU,4,17980079,0.022246843298074498
Germany,DEU,15,84548233,0.017741352441984208
Indonesia,IDN,28,281190068,0.009957677452533637
United States,USA,22,343477330,0.006405080649718571
Australia,AUS,1,26451126,0.003780557394796728
United Kingdom,GBR,2,68682965,0.0029119301998683372
South Africa,ZAF,1,63212386,0.001581968445234768
