country,admin1,lat,lon,type,events,fatalities
Bahrain,Capital,26.1927,50.5508,Protests,3363,1
Bahrain,Capital,26.1927,50.5508,Riots,1412,0
Bahrain,Capital,26.1927,50.5508,Violence against civilians,9,2
Bahrain,Muharraq,26.2547,50.6428,Battles,1,3
Bahrain,Muharraq,26.2547,50.6428,Protests,239,0
Bahrain,Muharraq,26.2547,50.6428,Riots,82,0
Bahrain,Muharraq,26.2547,50.6428,Violence against civilians,10,0
Bahrain,Northern,26.1468,50.4809,Battles,4,0
Bahrain,Northern,26.1468,50.4809,Protests,3087,2
Bahrain,Northern,26.1468,50.4809,Riots,1045,5
Bahrain,Northern,26.1468,50.4809,Violence against civilians,9,0
Bahrain,Southern,25.9954,50.5421,Protests,181,0
Bahrain,Southern,25.9954,50.5421,Riots,317,0
Bahrain,Southern,25.9954,50.5421,Violence against civilians,25,1
Iran,Alborz,35.9457,50.906,Battles,1,0
Iran,Alborz,35.9457,50.906,Protests,436,5
Iran,Alborz,35.9457,50.906,Riots,40,19
Iran,Alborz,35.9457,50.906,Violence against civilians,8,3
Iran,Ardabil,38.4066,47.9857,Protests,333,0
Iran,Ardabil,38.4066,47.9857,Riots,7,0
Iran,Ardabil,38.4066,47.9857,Violence against civilians,1,1
Iran,Bushehr,28.7846,51.5038,Protests,614,1
Iran,Bushehr,28.7846,51.5038,Riots,22,0
Iran,Bushehr,28.7846,51.5038,Violence against civilians,2,1
Iran,Chaharmahal and Bakhtiari,31.979,50.8101,Protests,307,0
Iran,Chaharmahal and Bakhtiari,31.979,50.8101,Riots,15,0
Iran,East Azerbaijan,38.0858,46.6924,Protests,857,1
Iran,East Azerbaijan,38.0858,46.6924,Riots,21,5
Iran,East Azerbaijan,38.0858,46.6924,Violence against civilians,3,3
Iran,Fars,29.3576,53.3176,Battles,6,11
Iran,Fars,29.3576,53.3176,Protests,867,1
Iran,Fars,29.3576,53.3176,Riots,42,40
Iran,Fars,29.3576,53.3176,Violence against civilians,9,27
Iran,Gilan,37.5092,49.0189,Protests,786,4
Iran,Gilan,37.5092,49.0189,Riots,39,35
Iran,Gilan,37.5092,49.0189,Violence against civilians,5,2
Iran,Golestan,37.2982,54.8804,Protests,203,0
Iran,Golestan,37.2982,54.8804,Riots,14,1
Iran,Golestan,37.2982,54.8804,Violence against civilians,2,2
Iran,Hamadan,34.8698,48.559,Protests,334,2
Iran,Hamadan,34.8698,48.559,Riots,24,7
Iran,Hamadan,34.8698,48.559,Violence against civilians,2,2
Iran,Hormozgan,27.1422,55.0325,Battles,5,8
Iran,Hormozgan,27.1422,55.0325,Protests,485,1
Iran,Hormozgan,27.1422,55.0325,Riots,30,5
Iran,Hormozgan,27.1422,55.0325,Violence against civilians,18,15
Iran,Ilam,33.0433,46.8724,Battles,3,1
Iran,Ilam,33.0433,46.8724,Protests,374,1
Iran,Ilam,33.0433,46.8724,Riots,14,0
Iran,Ilam,33.0433,46.8724,Violence against civilians,5,1
Iran,Isfahan,32.6094,52.0477,Battles,3,2
Iran,Isfahan,32.6094,52.0477,Protests,1392,3
Iran,Isfahan,32.6094,52.0477,Riots,62,35
Iran,Isfahan,32.6094,52.0477,Violence against civilians,5,4
Iran,Kerman,29.2326,57.3392,Battles,6,17
Iran,Kerman,29.2326,57.3392,Protests,614,0
Iran,Kerman,29.2326,57.3392,Riots,23,6
Iran,Kerman,29.2326,57.3392,Violence against civilians,25,25
Iran,Kermanshah,34.4871,46.8086,Battles,17,33
Iran,Kermanshah,34.4871,46.8086,Protests,772,1
Iran,Kermanshah,34.4871,46.8086,Riots,45,124
Iran,Kermanshah,34.4871,46.8086,Violence against civilians,36,26
Iran,Khuzestan,31.4636,48.9916,Battles,23,70
Iran,Khuzestan,31.4636,48.9916,Protests,3871,11
Iran,Khuzestan,31.4636,48.9916,Riots,144,124
Iran,Khuzestan,31.4636,48.9916,Violence against civilians,30,26
Iran,Kohgiluyeh and Boyer-Ahmad,30.7032,51.0949,Battles,1,2
Iran,Kohgiluyeh and Boyer-Ahmad,30.7032,51.0949,Protests,513,1
Iran,Kohgiluyeh and Boyer-Ahmad,30.7032,51.0949,Riots,15,2
Iran,Kohgiluyeh and Boyer-Ahmad,30.7032,51.0949,Violence against civilians,4,1
Iran,Kurdistan,35.6014,47.0057,Battles,55,96
Iran,Kurdistan,35.6014,47.0057,Protests,891,2
Iran,Kurdistan,35.6014,47.0057,Riots,111,95
Iran,Kurdistan,35.6014,47.0057,Violence against civilians,77,65
Iran,Lorestan,33.5164,48.3219,Battles,3,7
Iran,Lorestan,33.5164,48.3219,Protests,650,0
Iran,Lorestan,33.5164,48.3219,Riots,25,6
Iran,Lorestan,33.5164,48.3219,Violence against civilians,9,7
Iran,Markazi,34.4772,49.5818,Battles,2,2
Iran,Markazi,34.4772,49.5818,Protests,593,2
Iran,Markazi,34.4772,49.5818,Riots,15,1
