YEAR_MONTH,Protest_Events,Civilian_Fatalities
2017-01,176,0.0
2017-02,199,0.0
2017-03,121,3.0
2017-04,161,4.0
2017-05,174,5.0
2017-06,183,4.0
2017-07,241,1.0
2017-08,124,4.0
2017-09,205,3.0
2017-10,217,4.0
2017-11,246,1.0
2017-12,491,3.0
2018-01,257,3.0
2018-02,258,2.0
2018-03,320,5.0
2018-04,320,12.0
2018-05,421,11.0
2018-06,212,3.0
2018-07,179,6.0
2018-08,157,8.0
2018-09,115,5.0
2018-10,221,7.0
2018-11,205,7.0
2018-12,254,3.0
2019-01,186,0.0
2019-02,161,0.0
2019-03,259,0.0
2019-04,151,1.0
2019-05,360,0.0
2019-06,169,1.0
2019-07,187,0.0
2019-08,158,3.0
2019-09,173,2.0
2019-10,159,0.0
2019-11,334,1.0
2019-12,132,4.0
2020-01,121,2.0
2020-02,131,4.0
2020-03,63,2.0
2020-04,102,2.0
2020-05,156,13.0
2020-06,128,7.0
2020-07,157,14.0
2020-08,271,27.0
2020-09,256,4.0
2020-10,245,11.0
2020-11,182,12.0
2020-12,199,5.0
2021-01,327,4.0
2021-02,255,8.0
2021-03,189,5.0
2021-04,316,4.0
2021-05,512,13.0
2021-06,195,6.0
2021-07,430,13.0
2021-08,147,4.0
2021-09,323,8.0
2021-10,385,6.0
2021-11,346,8.0
2021-12,589,5.0
2022-01,699,14.0
2022-02,419,7.0
2022-03,151,10.0
2022-04,323,7.0
2022-05,231,13.0
2022-06,276,4.0
2022-07,201,9.0
2022-08,120,3.0
2022-09,383,10.0
2022-10,770,48.0
2022-11,426,24.0
2022-12,304,20.0
2023-01,205,8.0
2023-02,221,4.0
2023-03,209,23.0
2023-04,228,10.0
2023-05,245,7.0
2023-06,168,13.0
2023-07,250,10.0
2023-08,306,5.0
2023-09,249,0.0
2023-10,573,1.0
2023-11,561,4.0
2023-12,443,6.0
2024-01,279,15.0
2024-02,228,2.0
2024-03,431,6.0
2024-04,434,4.0
2024-05,169,2.0
2024-06,154,1.0
2024-07,248,3.0
2024-08,359,1.0
2024-09,388,6.0
2024-10,269,10.0
2024-11,418,1.0
2024-12,189,1.0
2025-01,299,3.0
2025-02,209,1.0
2025-03,356,1.0
2025-04,262,11.0
2025-05,564,1.0
2025-06,248,9.0
2025-07,176,16.0
2025-08,295,2.0
2025-09,267,10.0
2025-10,301,8.0
2025-11,336,13.0
2025-12,390,2.0
