YEAR,MONTH,Fatalities,Events,MONTH_NAME
2017,1,0,177,Jan
2017,2,1,200,Feb
2017,3,3,122,Mar
2017,4,4,166,Apr
2017,5,5,179,May
2017,6,4,187,Jun
2017,7,3,242,Jul
2017,8,4,127,Aug
2017,9,3,209,Sep
2017,10,4,221,Oct
2017,11,1,247,Nov
2017,12,24,494,Dec
2018,1,3,260,Jan
2018,2,7,260,Feb
2018,3,5,325,Mar
2018,4,12,329,Apr
2018,5,13,432,May
2018,6,3,217,Jun
2018,7,8,186,Jul
2018,8,8,165,Aug
2018,9,5,120,Sep
2018,10,7,228,Oct
2018,11,7,212,Nov
2018,12,3,256,Dec
2019,1,0,186,Jan
2019,2,0,162,Feb
2019,3,1,259,Mar
2019,4,1,152,Apr
2019,5,0,360,May
2019,6,1,170,Jun
2019,7,0,187,Jul
2019,8,5,164,Aug
2019,9,2,175,Sep
2019,10,0,161,Oct
2019,11,388,336,Nov
2019,12,4,140,Dec
2020,1,3,126,Jan
2020,2,4,135,Feb
2020,3,35,68,Mar
2020,4,2,104,Apr
2020,5,14,165,May
2020,6,7,137,Jun
2020,7,15,168,Jul
2020,8,27,295,Aug
2020,9,4,261,Sep
2020,10,12,262,Oct
2020,11,12,194,Nov
2020,12,5,207,Dec
2021,1,4,333,Jan
2021,2,11,260,Feb
2021,3,6,195,Mar
2021,4,4,320,Apr
2021,5,13,525,May
2021,6,8,202,Jun
2021,7,23,441,Jul
2021,8,5,155,Aug
2021,9,8,335,Sep
2021,10,6,396,Oct
2021,11,8,354,Nov
2021,12,5,595,Dec
2022,1,14,715,Jan
2022,2,10,426,Feb
2022,3,10,166,Mar
2022,4,7,334,Apr
2022,5,14,242,May
2022,6,4,286,Jun
2022,7,9,214,Jul
2022,8,7,127,Aug
2022,9,241,395,Sep
2022,10,152,802,Oct
2022,11,158,454,Nov
2022,12,26,326,Dec
2023,1,8,216,Jan
2023,2,4,231,Feb
2023,3,23,223,Mar
2023,4,12,241,Apr
2023,5,7,255,May
2023,6,13,181,Jun
2023,7,12,259,Jul
2023,8,5,308,Aug
2023,9,1,250,Sep
2023,10,1,574,Oct
2023,11,7,565,Nov
2023,12,6,448,Dec
2024,1,17,285,Jan
2024,2,2,231,Feb
2024,3,6,436,Mar
2024,4,4,443,Apr
2024,5,2,173,May
2024,6,1,157,Jun
2024,7,4,250,Jul
2024,8,1,360,Aug
2024,9,6,393,Sep
2024,10,11,270,Oct
2024,11,6,420,Nov
2024,12,1,190,Dec
2025,1,3,300,Jan
2025,2,1,211,Feb
2025,3,1,358,Mar
2025,4,11,264,Apr
2025,5,1,565,May
2025,6,10,258,Jun
2025,7,16,192,Jul
2025,8,2,299,Aug
2025,9,11,272,Sep
2025,10,8,319,Oct
2025,11,13,355,Nov
2025,12,31,391,Dec
